Details,Accession,Release_Date,Species,Genus,Family,Length,Genotype,Genome_Region,Segment,Protein,Geo_Location,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
"",YP_009725298,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,638,,,,nsp2,China,Homo sapiens,,2019-12,,nsp2 [Wuhan seafood market pneumonia virus]
"",YP_009725299,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1945,,,,nsp3,China,Homo sapiens,,2019-12,,nsp3 [Wuhan seafood market pneumonia virus]
"",YP_009725300,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,500,,,,nsp4,China,Homo sapiens,,2019-12,,nsp4 [Wuhan seafood market pneumonia virus]
"",YP_009725301,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,306,,,,3C-like proteinase,China,Homo sapiens,,2019-12,,3C-like proteinase [Wuhan seafood market pneumonia virus]
"",YP_009725302,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,290,,,,nsp6,China,Homo sapiens,,2019-12,,nsp6 [Wuhan seafood market pneumonia virus]
"",YP_009725303,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,83,,,,nsp7,China,Homo sapiens,,2019-12,,nsp7 [Wuhan seafood market pneumonia virus]
"",YP_009725304,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,198,,,,nsp8,China,Homo sapiens,,2019-12,,nsp8 [Wuhan seafood market pneumonia virus]
"",YP_009725305,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,113,,,,nsp9,China,Homo sapiens,,2019-12,,nsp9 [Wuhan seafood market pneumonia virus]
"",YP_009725306,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,139,,,,nsp10,China,Homo sapiens,,2019-12,,nsp10 [Wuhan seafood market pneumonia virus]
"",YP_009725307,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,932,,,,RNA-dependent RNA polymerase,China,Homo sapiens,,2019-12,,RNA-dependent RNA polymerase [Wuhan seafood market pneumonia virus]
"",YP_009725308,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,601,,,,helicase,China,Homo sapiens,,2019-12,,helicase [Wuhan seafood market pneumonia virus]
"",YP_009725309,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,527,,,,3'-to-5' exonuclease,China,Homo sapiens,,2019-12,,3'-to-5' exonuclease [Wuhan seafood market pneumonia virus]
"",YP_009725310,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,346,,,,endoRNAse,China,Homo sapiens,,2019-12,,endoRNAse [Wuhan seafood market pneumonia virus]
"",YP_009725311,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,298,,,,2'-O-ribose methyltransferase,China,Homo sapiens,,2019-12,,2'-O-ribose methyltransferase [Wuhan seafood market pneumonia virus]
"",YP_009725312,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,13,,,,nsp11,China,Homo sapiens,,2019-12,,nsp11 [Wuhan seafood market pneumonia virus]
"",QHW06038,2020-02-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,7096,,,,orf1ab polyprotein,USA,Homo sapiens,oronasopharynx,2020-01-29,,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
"",QHW06039,2020-02-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1273,,,,surface glycoprotein,USA,Homo sapiens,oronasopharynx,2020-01-29,,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
"",QHW06040,2020-02-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,275,,,,orf3a protein,USA,Homo sapiens,oronasopharynx,2020-01-29,,orf3a protein [Severe acute respiratory syndrome coronavirus 2]
"",QHW06041,2020-02-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,75,,,,envelope protein,USA,Homo sapiens,oronasopharynx,2020-01-29,,envelope protein [Severe acute respiratory syndrome coronavirus 2]
"",QHW06042,2020-02-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,222,,,,membrane glycoprotein,USA,Homo sapiens,oronasopharynx,2020-01-29,,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2]
"",QHW06043,2020-02-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,61,,,,orf6 protein,USA,Homo sapiens,oronasopharynx,2020-01-29,,orf6 protein [Severe acute respiratory syndrome coronavirus 2]
"",QHW06044,2020-02-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,,,,orf7a protein,USA,Homo sapiens,oronasopharynx,2020-01-29,,orf7a protein [Severe acute respiratory syndrome coronavirus 2]
"",QHW06045,2020-02-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,,,,orf8 protein,USA,Homo sapiens,oronasopharynx,2020-01-29,,orf8 protein [Severe acute respiratory syndrome coronavirus 2]
"",QHW06046,2020-02-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,419,,,,nucleocapsid phosphoprotein,USA,Homo sapiens,oronasopharynx,2020-01-29,,nucleocapsid phosphoprotein [Severe acute respiratory syndrome coronavirus 2]
"",QHW06047,2020-02-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,38,,,,orf10 protein,USA,Homo sapiens,oronasopharynx,2020-01-29,,orf10 protein [Severe acute respiratory syndrome coronavirus 2]
"",QHN73824,2020-01-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,35,,,,surface glycoprotein,China,Homo sapiens,"lung, oronasopharynx",2020-01,,"surface glycoprotein, partial [Severe acute respiratory syndrome coronavirus 2]"
"",QHD43415,2020-01-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,7096,,,,orf1ab polyprotein,China,Homo sapiens,,2019-12,,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
"",QHD43416,2020-01-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1273,,,,surface glycoprotein,China,Homo sapiens,,2019-12,,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
"",QHD43417,2020-01-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,275,,,,ORF3a protein,China,Homo sapiens,,2019-12,,ORF3a protein [Severe acute respiratory syndrome coronavirus 2]
"",QHD43418,2020-01-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,75,,,,envelope protein,China,Homo sapiens,,2019-12,,envelope protein [Severe acute respiratory syndrome coronavirus 2]
"",QHD43419,2020-01-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,222,,,,membrane glycoprotein,China,Homo sapiens,,2019-12,,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2]
"",QHD43420,2020-01-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,61,,,,ORF6 protein,China,Homo sapiens,,2019-12,,ORF6 protein [Severe acute respiratory syndrome coronavirus 2]
"",QHD43421,2020-01-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,,,,ORF7a protein,China,Homo sapiens,,2019-12,,ORF7a protein [Severe acute respiratory syndrome coronavirus 2]
"",QHD43422,2020-01-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,,,,ORF8 protein,China,Homo sapiens,,2019-12,,ORF8 protein [Severe acute respiratory syndrome coronavirus 2]
"",QHD43423,2020-01-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,419,,,,nucleocapsid phosphoprotein,China,Homo sapiens,,2019-12,,nucleocapsid phosphoprotein [Severe acute respiratory syndrome coronavirus 2]
"",QHI42199,2020-01-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,38,,,,ORF10 protein,China,Homo sapiens,,2019-12,,ORF10 protein [Severe acute respiratory syndrome coronavirus 2]
"",QHZ87575,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,98,,,,orf1ab polyprotein,China,Homo sapiens,swab,2020-01,,"orf1ab polyprotein, partial [Severe acute respiratory syndrome coronavirus 2]"
"",QIA20042,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,7096,,,,orf1ab polyprotein,China,Homo sapiens,"lung, oronasopharynx",2020-01-17,,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
"",QIA20043,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,4405,,,,orf1ab polyprotein,China,Homo sapiens,"lung, oronasopharynx",2020-01-17,,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
"",QIA20044,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1273,,,,surface glycoprotein,China,Homo sapiens,"lung, oronasopharynx",2020-01-17,,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
"",QIA20045,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,275,,,,ORF3a protein,China,Homo sapiens,"lung, oronasopharynx",2020-01-17,,ORF3a protein [Severe acute respiratory syndrome coronavirus 2]
"",QIA20046,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,75,,,,envelope protein,China,Homo sapiens,"lung, oronasopharynx",2020-01-17,,envelope protein [Severe acute respiratory syndrome coronavirus 2]
"",QIA20047,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,222,,,,membrane glycoprotein,China,Homo sapiens,"lung, oronasopharynx",2020-01-17,,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2]
"",QIA20048,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,61,,,,ORF6 protein,China,Homo sapiens,"lung, oronasopharynx",2020-01-17,,ORF6 protein [Severe acute respiratory syndrome coronavirus 2]
"",QIA20049,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,,,,ORF7a protein,China,Homo sapiens,"lung, oronasopharynx",2020-01-17,,ORF7a protein [Severe acute respiratory syndrome coronavirus 2]
"",QIA20050,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,43,,,,ORF7b,China,Homo sapiens,"lung, oronasopharynx",2020-01-17,,ORF7b [Severe acute respiratory syndrome coronavirus 2]
"",QIA20051,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,,,,ORF8 protein,China,Homo sapiens,"lung, oronasopharynx",2020-01-17,,ORF8 protein [Severe acute respiratory syndrome coronavirus 2]
"",QIA20052,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,419,,,,nucleocapsid phosphoprotein,China,Homo sapiens,"lung, oronasopharynx",2020-01-17,,nucleocapsid phosphoprotein [Severe acute respiratory syndrome coronavirus 2]
"",QIA20053,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,38,,,,ORF10 protein,China,Homo sapiens,"lung, oronasopharynx",2020-01-17,,ORF10 protein [Severe acute respiratory syndrome coronavirus 2]
"",QHZ87576,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,98,,,,orf1ab polyprotein,China,Homo sapiens,swab,2020-01,,"orf1ab polyprotein, partial [Severe acute respiratory syndrome coronavirus 2]"
"",QHZ87577,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,98,,,,orf1ab polyprotein,China,Homo sapiens,swab,2020-01,,"orf1ab polyprotein, partial [Severe acute respiratory syndrome coronavirus 2]"
"",QHZ87578,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,98,,,,orf1ab polyprotein,China,Homo sapiens,swab,2020-01,,"orf1ab polyprotein, partial [Severe acute respiratory syndrome coronavirus 2]"
"",QHZ87579,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,98,,,,orf1ab polyprotein,China,Homo sapiens,swab,2020-01,,"orf1ab polyprotein, partial [Severe acute respiratory syndrome coronavirus 2]"
"",QHZ87580,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,98,,,,orf1ab polyprotein,China,Homo sapiens,swab,2020-01,,"orf1ab polyprotein, partial [Severe acute respiratory syndrome coronavirus 2]"
"",BCA25663,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,7096,,,,orf1ab polyprotein,Japan,Homo sapiens,,2020-01,,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
"",BCA25664,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1273,,,,surface glycoprotein,Japan,Homo sapiens,,2020-01,,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
"",BCA25667,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,222,,,,membrane glycoprotein,Japan,Homo sapiens,,2020-01,,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2]
"",BCA25669,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,,,,ORF7a protein,Japan,Homo sapiens,,2020-01,,ORF7a protein [Severe acute respiratory syndrome coronavirus 2]
"",BCA25671,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,419,,,,nucleocapsid phosphoprotein,Japan,Homo sapiens,,2020-01,,nucleocapsid phosphoprotein [Severe acute respiratory syndrome coronavirus 2]
"",QHZ00398,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,7096,,,,orf1ab polyprotein,USA,Homo sapiens,oronasopharynx,2020-01-29,,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
"",QHZ00403,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,61,,,,orf6 protein,USA,Homo sapiens,oronasopharynx,2020-01-29,,orf6 protein [Severe acute respiratory syndrome coronavirus 2]
"",QHZ00404,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,,,,orf7a protein,USA,Homo sapiens,oronasopharynx,2020-01-29,,orf7a protein [Severe acute respiratory syndrome coronavirus 2]
"",QHZ00406,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,419,,,,nucleocapsid phosphoprotein,USA,Homo sapiens,oronasopharynx,2020-01-29,,nucleocapsid phosphoprotein [Severe acute respiratory syndrome coronavirus 2]
"",QHZ00407,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,38,,,,orf10 protein,USA,Homo sapiens,oronasopharynx,2020-01-29,,orf10 protein [Severe acute respiratory syndrome coronavirus 2]
"",QHO62112,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1273,,,,surface glycoprotein,China,Homo sapiens,,2020-01-02,,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
"",QHO62115,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,419,,,,nucleocapsid protein,China,Homo sapiens,,2020-01-02,,nucleocapsid protein [Severe acute respiratory syndrome coronavirus 2]
"",BCA25665,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,275,,,,ORF3a protein,Japan,Homo sapiens,,2020-01,,ORF3a protein [Severe acute respiratory syndrome coronavirus 2]
"",BCA25666,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,75,,,,envelope protein,Japan,Homo sapiens,,2020-01,,envelope protein [Severe acute respiratory syndrome coronavirus 2]
"",BCA25668,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,61,,,,ORF6 protein,Japan,Homo sapiens,,2020-01,,ORF6 protein [Severe acute respiratory syndrome coronavirus 2]
"",BCA25670,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,,,,ORF8 protein,Japan,Homo sapiens,,2020-01,,ORF8 protein [Severe acute respiratory syndrome coronavirus 2]
"",BCA25672,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,38,,,,ORF10 protein,Japan,Homo sapiens,,2020-01,,ORF10 protein [Severe acute respiratory syndrome coronavirus 2]
"",QHZ00399,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1273,,,,surface glycoprotein,USA,Homo sapiens,oronasopharynx,2020-01-29,,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
"",QHZ00400,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,275,,,,orf3a protein,USA,Homo sapiens,oronasopharynx,2020-01-29,,orf3a protein [Severe acute respiratory syndrome coronavirus 2]
"",QHZ00401,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,75,,,,envelope protein,USA,Homo sapiens,oronasopharynx,2020-01-29,,envelope protein [Severe acute respiratory syndrome coronavirus 2]
"",QHZ00402,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,222,,,,membrane glycoprotein,USA,Homo sapiens,oronasopharynx,2020-01-29,,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2]
"",QHZ00405,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,,,,orf8 protein,USA,Homo sapiens,oronasopharynx,2020-01-29,,orf8 protein [Severe acute respiratory syndrome coronavirus 2]
"",QHO62111,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,7096,,,,orf1ab polyprotein,China,Homo sapiens,,2020-01-02,,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
"",QHO62113,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,75,,,,envelope protein,China,Homo sapiens,,2020-01-02,,envelope protein [Severe acute respiratory syndrome coronavirus 2]
"",QHO62114,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,222,,,,matrix protein,China,Homo sapiens,,2020-01-02,,matrix protein [Severe acute respiratory syndrome coronavirus 2]
"",QHN73808,2020-01-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,35,,,,surface glycoprotein,China,Homo sapiens,oronasopharynx,2020-01,,"surface glycoprotein, partial [Severe acute respiratory syndrome coronavirus 2]"
"",QHQ71962,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,7096,,,,orf1ab polyprotein,USA,Homo sapiens,oronasopharynx,2020-01-23,,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
"",QHQ71963,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1273,,,,surface glycoprotein,USA,Homo sapiens,oronasopharynx,2020-01-23,,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
"",QHQ71964,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,275,,,,orf3a protein,USA,Homo sapiens,oronasopharynx,2020-01-23,,orf3a protein [Severe acute respiratory syndrome coronavirus 2]
"",QHQ71965,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,75,,,,envelope protein,USA,Homo sapiens,oronasopharynx,2020-01-23,,envelope protein [Severe acute respiratory syndrome coronavirus 2]
"",QHQ71966,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,222,,,,membrane glycoprotein,USA,Homo sapiens,oronasopharynx,2020-01-23,,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2]
"",QHQ71967,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,61,,,,orf6 protein,USA,Homo sapiens,oronasopharynx,2020-01-23,,orf6 protein [Severe acute respiratory syndrome coronavirus 2]
"",QHQ71968,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,,,,orf7a protein,USA,Homo sapiens,oronasopharynx,2020-01-23,,orf7a protein [Severe acute respiratory syndrome coronavirus 2]
"",QHQ71969,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,,,,orf8 protein,USA,Homo sapiens,oronasopharynx,2020-01-23,,orf8 protein [Severe acute respiratory syndrome coronavirus 2]
"",QHQ71970,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,419,,,,nucleocapsid phosphoprotein,USA,Homo sapiens,oronasopharynx,2020-01-23,,nucleocapsid phosphoprotein [Severe acute respiratory syndrome coronavirus 2]
"",QHQ71971,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,38,,,,orf10 protein,USA,Homo sapiens,oronasopharynx,2020-01-23,,orf10 protein [Severe acute respiratory syndrome coronavirus 2]
"",QHR63249,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,7096,,,,orf1ab polyprotein,China,Homo sapiens,lung,2019-12-30,,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
"",QHR63250,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1273,,,,spike glycoprotein,China,Homo sapiens,lung,2019-12-30,,spike glycoprotein [Severe acute respiratory syndrome coronavirus 2]
"",QHR63251,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,275,,,,nonstructural protein NS3,China,Homo sapiens,lung,2019-12-30,,nonstructural protein NS3 [Severe acute respiratory syndrome coronavirus 2]
"",QHR63252,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,75,,,,envelope protein,China,Homo sapiens,lung,2019-12-30,,envelope protein [Severe acute respiratory syndrome coronavirus 2]
"",QHR63253,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,222,,,,membrane protein,China,Homo sapiens,lung,2019-12-30,,membrane protein [Severe acute respiratory syndrome coronavirus 2]
